,Name,Location,Class,Date of Incorporation,Activity,Email,Website,Top Level Employees,Linkdin Link 1,Linkdin Link 2,Linkdin Link 3,Linkdin Link 4,Linkdin Link 5
10,Broxer,RoC-Delhi,Private,28 February 2018,"Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms. Consultancy includes providing the best solution in the form of custom software after analyzing the user?s needs and problems. Custom software also includes made-to-order software based on orders from specific users. Also, included are writing of software of any kind following directives of the users; software maintenance, web-page design].  Click here to see other companies involved in same activity.",PARVESHMITTAL@LIVE.COM,https://broxer.com/,"PARVESH MITTAL(Director),MAHESH CHAND(Director),",https://in.linkedin.com/in/parvesh-mittal-18259b4,https://www.linkedin.com/in/mchand,,,
11,EHotBuzz,,,,,,http://ehotbuzz.com/,"PARVESH MITTAL(Director),MAHESH CHAND(Director),",https://in.linkedin.com/in/parvesh-mittal-18259b4,https://www.linkedin.com/in/mchand,,,
12,Retail Pharma India,,,,,,https://www.retailpharmaindia.com/,"PARVESH MITTAL(Director),MAHESH CHAND(Director),",http://www.pharmabiz.com/,https://www.maneeshpharma.com/,,,
13,Trip Mega Mart,,,,,,https://www.tripmegamart.com/,"PARVESH MITTAL(Director),MAHESH CHAND(Director),",https://www.facebook.com/public/Parvesh-Gaur,https://in.linkedin.com/in/mahesh-chandra-155a1776,,,
14,Zostel,RoC-Jaipur,Private,29 August 2013,Hotels; camping sites and other provision of short-stay accommodation [ Restaurant facilities operated in connection with the provision of lodging remain classified in this group. Also included are the operation of sleeping cars when carried on by separate units]  Click here to see other companies involved in same activity.,zobu@zostel.com,https://www.zostel.com/,"ABHISHEK BHUTRA(Director),TARUN TIWARI(Director),DHARAMVEER SINGH(Managing Director),PAAVAN NANDA(Director),CHETAN SINGH CHAUHAN(Director),",https://in.linkedin.com/in/abhutra,https://in.linkedin.com/in/tarun-tiwari-51442422,https://in.linkedin.com/in/dharamveer-singh-chouhan-8b674415,https://in.linkedin.com/in/paavan-nanda-68b41924,https://in.linkedin.com/in/chetan-chauhan-237a4a87
15,Being the Parent,,,,,,https://www.beingtheparent.com/,"ABHISHEK BHUTRA(Director),TARUN TIWARI(Director),DHARAMVEER SINGH(Managing Director),PAAVAN NANDA(Director),CHETAN SINGH CHAUHAN(Director),",https://in.linkedin.com/in/abhutra,https://www.flipkart.com/bhasha-tarun-8-hindi-textbook-checkpoint-pre-igcse-myp-c-d/p/itmejh5yzzdytz4v,https://en.wikipedia.org/wiki/Dharam_Veer_(film),https://in.linkedin.com/in/paavan-nanda-68b41924,https://www.ese.iitb.ac.in/faculty/chetan-singh-solanki
16,HostLelo,RoC-Delhi,Private,06 November 2018,Business activities n.e.c.  Click here to see other companies involved in same activity.,info@vs2h.com,https://hostlelo.in/,,,,,,
17,Homz N Space,,,,,,https://www.homznspace.com/,,,,,,
18,DrSafeHands,,,,,,https://drsafehands.com/,,,,,,
19,Sweet Kadai,,,,,,https://www.sweetkadai.com/,,,,,,
20,StartupUrban,,,,,,http://www.startupurban.com/,,,,,,
21,TrademarKing,,,,,,https://www.wipo.int/trademarks/en/,,,,,,
22,Niki.ai,RoC-Ahmedabad,Private,19 September 2011,"Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms. Consultancy includes providing the best solution in the form of custom software after analyzing the user?s needs and problems. Custom software also includes made-to-order software based on orders from specific users. Also, included are writing of software of any kind following directives of the users; software maintenance, web-page design].  Click here to see other companies involved in same activity.",efiling.ca@gmail.com,https://niki.ai/,,,,,,
23,Bhartipay,RoC-Delhi,Private,03 October 2017,Business activities n.e.c.  Click here to see other companies involved in same activity.,sakshi@bhartipay.com,https://www.bhartipay.com/,"VIKRANT VIKRAMSINGH(Additional Director),SAKSHI CHAWLA(Director),SUNIL KUMAR(Director),",https://in.linkedin.com/in/vikrant-vikram-singh-ab57b520,https://in.linkedin.com/in/sakshi-chawla-b85bb6b8,https://in.linkedin.com/in/payment-gateway-sunil,,
24,AppWorldIn,,,,,,https://www.appworldin.com/,"VIKRANT VIKRAMSINGH(Additional Director),SAKSHI CHAWLA(Director),SUNIL KUMAR(Director),",https://in.linkedin.com/in/vikrant-vikram-singh-ab57b520,https://in.linkedin.com/in/sakshi-chawla-a3308a82,https://in.linkedin.com/in/sunilkhanderao,,
25,Kriscent,RoC-Jaipur,Private,05 April 2017,Other computer related activities [for example maintenance of websites of other firms/ creation of multimedia presentations for other firms etc.]  Click here to see other companies involved in same activity.,kapil@kriscent.in,https://www.kriscent.in/,"BIRDHI GAUTAM(Director),KAPIL GAUTAM(Director),",https://www.linkedin.com/company/kriscenttechnohub,https://www.linkedin.com/in/kapil-gautam,,,
26,Guidetour.in,,,,,,https://guidetour.in/,"BIRDHI GAUTAM(Director),KAPIL GAUTAM(Director),",https://in.linkedin.com/in/gautam-pandey-494a7718,https://www.linkedin.com/in/kapilsurlaker,,,
27,Scale Inch,RoC-Bangalore,Private,26 August 2016,"Manufacture of products of wood, cork, straw and plaiting materials  Click here to see other companies involved in same activity.",naushad.laa@gmail.com,,"ANJUM ZAIBA(Director),SHAFI NAUSHAD(Director),",https://in.linkedin.com/in/zaiba-anjum-026513193,https://in.linkedin.com/in/naushadshaffi,,,
28,Philoid,,,,,,https://www.philoid.com/,"ANJUM ZAIBA(Director),SHAFI NAUSHAD(Director),",https://in.linkedin.com/in/zaiba-anjum-97b2a4162,https://www.facebook.com/391149464326895/posts/tribute-to-mohammed-shafi-hindi-film-music-worlds-well-known-music-director-arra/890725234369313/,,,
29,IPHS Technologies,,,,,pkgca1@gmail.com,https://iphtechnologies.com/,"LEKHA MISHRA(Designated Partner),ARUN KUMAR(Designated Partner),",https://in.linkedin.com/in/lekha-mishra,https://in.linkedin.com/in/arun-kumar-952423136,,,
30,TweetFull,,,,,,https://tweetfull.com/,"LEKHA MISHRA(Designated Partner),ARUN KUMAR(Designated Partner),",https://in.linkedin.com/in/lekha-mishra-9b933158,https://www.linkedin.com/in/kumararun,,,
31,Djubo,RoC-Delhi,Private,12 June 2014,"Data processing. [This includes the processing or tabulation of all types of data. Provision of such services on (i) an hourly or time -share basis, and (ii) management or operation of data processing facilities of others on a time sharing basis; on a fee or contract basis].  Click here to see other companies involved in same activity.",info@djubo.com,https://djubo.com/,"SANKALP KUMAR GOEL(Director),TARUN GULATI(Director),VIKAS VERMA(Additional Director),",https://in.linkedin.com/in/sankalpgoel,https://in.linkedin.com/in/tarungulati,https://in.linkedin.com/in/vermavikas,,
32,GooSpares,,,,,,https://www.goospares.com/,"SANKALP KUMAR GOEL(Director),TARUN GULATI(Director),VIKAS VERMA(Additional Director),",https://www.honourpoint.in/profile/lieutenant-colonel-sankalp-kumar-sc/,https://in.linkedin.com/in/tarun-gulati-9a5b272,https://in.linkedin.com/in/vikas-verma-aa14974,,
33,Sellbitbuy,,,,,,https://www.sellbitbuy.net/,"SANKALP KUMAR GOEL(Director),TARUN GULATI(Director),VIKAS VERMA(Additional Director),",https://www.honourpoint.in/profile/lieutenant-colonel-sankalp-kumar-sc/,https://in.linkedin.com/in/tarun-gulati-9a5b272,https://in.linkedin.com/in/vikas-verma-aa14974,,
34,Rakhi Bazaar,,,,,,https://www.rakhibazaar.com/,"SANKALP KUMAR GOEL(Director),TARUN GULATI(Director),VIKAS VERMA(Additional Director),",https://economictimes.indiatimes.com/topic/Lt-Colonel-Sankalp-Kumar,https://in.linkedin.com/in/tarun-gulati-9a5b272,https://in.linkedin.com/in/vikas-verma-353b866,,
35,MeetUniversity,,,,,,https://www.meetuniversity.com/,"SANKALP KUMAR GOEL(Director),TARUN GULATI(Director),VIKAS VERMA(Additional Director),",https://www.honourpoint.in/profile/lieutenant-colonel-sankalp-kumar-sc/,https://in.linkedin.com/in/tarun-gulati-9a5b272,https://in.linkedin.com/in/vermavikas,,
36,Spring Edge,RoC-Bangalore,Private,01 September 2014,Business activities n.e.c.  Click here to see other companies involved in same activity.,b.online029@gmail.com,https://www.springedge.com/,"KALPANA SINGH(Director),SITA RAM(Director),",https://in.linkedin.com/in/kalpana-singh-9b493aa9,https://www.linkedin.com/company/springedge,,,
37,Wishberry,RoC-Mumbai,Private,18 April 2009,Business activities n.e.c.  Click here to see other companies involved in same activity.,priyanka@wishberry.in,https://www.wishberry.in/,"SHARAD SHARMA(Nominee Director),SHIBASISH TEJENDRA NATH SARKAR(Nominee Director),PRIYANKA PRAVINKUMAR AGARWAL(Managing Director),ANSHULIKA DUBEY(Wholetime Director),",https://in.linkedin.com/in/sharadsharma,https://www.zaubacorp.com/director/SHIBASISH-SARKAR/03450533,https://www.facebook.com/public/Priyanka-Pravin,https://in.linkedin.com/in/anshulikadubey,
38,My3DSelfie,,,,,hpdnypd2002@gmail.com,https://www.my3dselfie.com/,,,,,,
39,Webnexs,RoC-Ernakulam,Private,26 November 2007,"Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms. Consultancy includes providing the best solution in the form of custom software after analyzing the user?s needs and problems. Custom software also includes made-to-order software based on orders from specific users. Also, included are writing of software of any kind following directives of the users; software maintenance, web-page design].  Click here to see other companies involved in same activity.",vinod71@gmail.com,https://www.webnexs.com/,"KRISHNAPILLAI VASANTHAKUMARI(Director),VINOD KUMAR VELAYUDHAN NAIR(Managing Director),",https://in.linkedin.com/in/gk16041960,https://sg.linkedin.com/in/vinod-kumar-pillai-velayudhan-44803a179,,,
40,Xobin,RoC-Chennai,Private,23 March 2016,Business activities n.e.c.  Click here to see other companies involved in same activity.,contact@xobin.com,https://xobin.com/,"AMRIT RAJARAM ACHARYA(Director),GURUPRAKASH SIVABALAN(Director),",https://www.facebook.com/public/Amrita-Rajaram,https://in.linkedin.com/in/gurusiva,,,
41,NSDM INDIA,,,,,,https://www.nsdmindia.com/,"AMRIT RAJARAM ACHARYA(Director),GURUPRAKASH SIVABALAN(Director),",https://www.youtube.com/watch?v=5tZLI-PbboE,https://in.linkedin.com/school/nsdmindia/,,,
42,Gill Broking,RoC-Delhi,Private,28 September 2017,"Activities auxiliary to financial intermediation, except insurance and pension funding.[This Group includes activities involved in or closely related to financial inter-mediation other than insurance and pension funding but not themselves involving financial inter-mediation].  Click here to see other companies involved in same activity.",gillbroking@gmail.com,https://www.gillbroking.com/,"MANPRIYA GILL(Director),CHARANPREET GILL(Director),KEWAL GILL(Director),",https://in.linkedin.com/company/gill-broking,https://in.linkedin.com/in/charanpreet-gill-966a94157,https://in.linkedin.com/company/gill-broking,,
43,CouponDekho,,,,,,https://www.coupondekho.co.in/,"MANPRIYA GILL(Director),CHARANPREET GILL(Director),KEWAL GILL(Director),",https://www.linkedin.com/chatin/wnc/in/manpriya-gill-738734159?trk=people_also_view_3,https://in.linkedin.com/in/charanpreet-gill-966a94157,https://in.linkedin.com/in/gill-kamal,,
44,DontGetSerious,,,,,,https://www.facebook.com/dontgetserious/,"MANPRIYA GILL(Director),CHARANPREET GILL(Director),KEWAL GILL(Director),",https://in.linkedin.com/in/manpriya-gill-738734159,https://in.linkedin.com/in/charanpreet-gill-966a94157,https://www.linkedin.com/in/kewal-gill-4a22085,,
45,Bidsopt,RoC-Chennai,Private,31 October 2014,Other service activities  Click here to see other companies involved in same activity.,info@bidsopt.com,https://www.bidsopt.com/,"JOMITH GEORGE(Director),EUGENE SIMON KEVIN(Director),RAJAGOPAL VENKATESH(Director),MANIMARAN BABU(Director),",https://uk.linkedin.com/in/jomithgeorge,https://www.instagram.com/eugenesnaps/?hl=en,https://in.linkedin.com/in/venkatesh-rajagopal-b09668177,https://uk.linkedin.com/in/manimaran-babu-1b200311,
46,MageAnts,RoC-Ahmedabad,Public,26 November 1960,Manufacture of Basic Iron & Steel  Click here to see other companies involved in same activity.,rachana.rane@pml.in,https://www.mageants.com/,,,,,,
47,ZingyHomes,,,,,,https://www.zingyhomes.com/,,,,,,
48,Techimply,RoC-Ahmedabad,Private,27 November 2019,Other computer related activities [for example maintenance of websites of other firms/ creation of multimedia presentations for other firms etc.]  Click here to see other companies involved in same activity.,akashpatel3190@gmail.com,https://www.techimply.com/,"Shruti Govindbhai Hirpara(Director),AKASH CHETANBHAI PATEL(Director),Chandani Jagdishbhai Usdadiya(Director),",https://in.linkedin.com/in/shruti-hirpara-427a73a0,https://in.linkedin.com/in/akash-3190,https://www.linkedin.com/in/jagdish-chandani-25957244,,
49,MakeMyDelivery,RoC-Delhi,Private,23 March 2016,Business activities n.e.c.  Click here to see other companies involved in same activity.,anujkapoor.1234@gmail.com,https://www.makemydelivery.com/,"SUDEEP MANGLA(Director),ANUJ KAPOOR(Director),",https://in.linkedin.com/in/sudeepmangla,https://in.linkedin.com/in/anujkapo,,,
